beta,gama,rx,ry
2.420970,2.160230,0.408303,0.486838
1.857608,2.921507,0.427807,0.319842
2.162337,2.587905,0.387805,0.381828
1.513521,2.191787,0.288805,0.367252
0.929295,0.162969,0.145180,0.608234
1.286165,1.776386,0.215648,0.387354
1.777683,2.540146,0.357550,0.354372
1.651126,0.674563,0.335643,0.694778
2.526192,2.777781,0.430222,0.368080
1.739074,0.655617,0.378371,0.707614
2.269520,2.824376,0.421224,0.349036
2.289653,2.067004,0.385538,0.497252
2.287560,2.831113,0.422883,0.348703
1.247958,1.083162,0.161834,0.517509
2.106226,1.933605,0.349737,0.507955
1.429416,1.502863,0.206149,0.475794
2.128787,1.414270,0.399019,0.618654
0.949367,1.316841,0.140894,0.378179
1.843087,2.285634,0.326705,0.401433
1.963895,1.984790,0.321135,0.478152
1.849724,0.776075,0.402424,0.701252
1.462460,1.100245,0.213341,0.573246
1.922037,2.031182,0.315543,0.462020
1.635790,1.783372,0.255243,0.463635
1.666323,1.481775,0.254314,0.535848
1.438175,1.717158,0.222952,0.433765
1.985411,1.896742,0.324074,0.500190
1.892042,2.416745,0.346569,0.385144
1.420503,1.543877,0.207055,0.464916
1.499263,1.055468,0.227146,0.592629
2.610129,2.775113,0.434665,0.371732
2.093214,2.826534,0.415031,0.340541
2.506150,2.377613,0.417454,0.446478
1.627292,1.969598,0.269827,0.424482
1.733495,0.590737,0.389861,0.715176
1.527010,0.433213,0.329778,0.710534
1.318559,0.039445,0.322083,0.721195
0.349470,0.671621,0.078019,0.296216
2.481772,2.362823,0.413693,0.448254
2.315168,2.436496,0.391292,0.422369
1.637806,0.221353,0.430615,0.740046
0.911201,0.619731,0.103000,0.509011
0.577558,1.042451,0.108615,0.309640
2.499469,2.148932,0.425604,0.493747
1.613393,1.008355,0.269166,0.627941
0.700484,0.595165,0.074141,0.437796
0.910684,1.634877,0.185786,0.317214
1.171696,0.554629,0.171944,0.609137
2.318591,1.920154,0.400274,0.530869
0.615008,0.064091,0.080362,0.515877
1.226109,2.808987,0.408502,0.293259
0.896442,1.060030,0.112985,0.410436
0.956477,0.651704,0.110680,0.517724
1.789411,2.116702,0.303127,0.424559
1.121855,0.462122,0.166640,0.612503
2.303871,2.767221,0.416031,0.360123
0.592620,0.990720,0.100887,0.322656
2.303855,2.212134,0.385464,0.467676
1.399310,1.422701,0.197574,0.484952
1.435207,0.693363,0.244880,0.651781
1.192354,1.782664,0.211725,0.364423
1.502225,0.878683,0.245243,0.630907
1.035610,0.498047,0.138443,0.577805
1.014486,1.746268,0.203207,0.327887
1.948579,0.872222,0.425426,0.694538
2.498015,2.598999,0.418349,0.401173
1.252058,0.535660,0.200760,0.635758
0.549406,1.062975,0.112739,0.297234
2.424524,2.955161,0.441684,0.334080
1.260072,0.022120,0.299852,0.712906
2.079774,2.339280,0.357483,0.420075
2.115122,1.310325,0.410031,0.636375
2.503523,2.862024,0.435398,0.352305
1.189041,1.020018,0.150375,0.513641
1.448146,1.281093,0.204861,0.529382
1.735921,1.629178,0.269934,0.517049
1.899984,1.831400,0.306137,0.501648
1.771531,1.351871,0.288494,0.585595
1.010002,0.459636,0.134874,0.577106
1.836414,2.572750,0.365666,0.355986
1.258981,1.704389,0.204295,0.393313
2.564985,2.063603,0.446493,0.513241
1.223720,2.052707,0.256881,0.334017
1.583922,0.599215,0.321461,0.696406
1.215362,1.727983,0.205007,0.378631
2.144660,1.164702,0.447781,0.661248
0.250711,0.498879,0.068487,0.292112
1.335397,2.365407,0.315712,0.319748
2.382649,2.278031,0.398789,0.459748
1.305133,2.640258,0.371529,0.300085
1.871639,1.734934,0.299771,0.518295
2.397190,2.083188,0.407857,0.501884
1.912423,1.136638,0.361425,0.650318
1.690104,2.494856,0.346908,0.350936
1.456461,2.767732,0.396022,0.307459
1.979195,1.225325,0.372943,0.641057
1.011621,1.400055,0.152877,0.381542
1.676004,1.250984,0.266864,0.589153
0.572940,1.048587,0.109524,0.307112
0.194667,0.382607,0.062311,0.292657
0.976037,1.699774,0.195667,0.324623
0.708020,1.006923,0.101546,0.358290
1.071410,0.552178,0.143396,0.578019
2.148911,2.038502,0.357148,0.490181
0.607969,1.119029,0.117310,0.306820
1.872272,2.456043,0.350434,0.376447
0.843367,0.121695,0.126509,0.586825
1.901087,2.855287,0.415900,0.327579
1.211187,0.131524,0.254819,0.690942
1.700053,1.301328,0.270430,0.583047
0.821286,0.065842,0.127588,0.589705
1.605337,1.248306,0.246164,0.574617
2.016522,2.689049,0.391722,0.354488
2.126066,1.753764,0.362605,0.548936
1.402769,0.776259,0.223066,0.627678
0.782132,0.572094,0.083431,0.472577
1.514727,1.842232,0.244047,0.426419
1.270945,0.904196,0.172203,0.564325
1.526876,0.592640,0.298096,0.687870
1.572649,2.064547,0.274715,0.397192
1.371584,1.179472,0.188169,0.531435
0.739207,0.406784,0.080497,0.491855
0.182943,0.156100,0.048737,0.330881
2.343953,2.635879,0.407143,0.385651
1.124614,0.341769,0.183785,0.636087
0.986495,0.991458,0.117535,0.454722
1.875013,2.751061,0.396938,0.337291
1.379604,0.874644,0.205868,0.601091
1.434911,0.783513,0.232803,0.634115
1.214253,1.340733,0.165270,0.451796
0.771984,1.416754,0.154428,0.310817
2.257622,1.712683,0.403058,0.569507
2.267783,2.765973,0.413906,0.358055
0.376010,0.468133,0.058661,0.342677
1.946653,2.765020,0.400709,0.340179
1.830697,1.549315,0.294294,0.552269
1.252254,0.733962,0.178797,0.595820
2.058378,1.724235,0.346370,0.547754
1.650185,0.741921,0.322604,0.684334
2.540678,2.473282,0.421289,0.428681
0.576317,0.307330,0.062355,0.451091
1.404005,0.817850,0.218527,0.619833
1.847094,2.231212,0.321215,0.411759
0.783702,1.332521,0.141376,0.326277
2.449225,2.962985,0.443548,0.333819
1.302798,0.027161,0.317664,0.719746
0.645654,0.379655,0.068479,0.462197
1.441281,0.666219,0.251130,0.658042
1.493321,2.286611,0.303849,0.351303
0.859014,1.677136,0.195047,0.299291
1.465845,1.365255,0.209244,0.514992
1.926269,2.428691,0.351029,0.386625
0.920137,0.104241,0.151546,0.615422
0.700723,0.851551,0.086577,0.385406
0.747161,1.455545,0.162158,0.298332
1.308270,0.590799,0.213223,0.640212
0.425733,0.031344,0.055373,0.449163
1.912115,0.745654,0.436776,0.708019
1.622541,2.229703,0.301335,0.378661
2.004244,2.592724,0.377555,0.368062
1.937178,0.937869,0.407234,0.684849
0.333117,0.444885,0.058032,0.331520
0.361978,0.712850,0.081484,0.293533
1.303181,2.593347,0.361550,0.301734
1.015472,1.323926,0.144895,0.396587
1.258914,2.433058,0.329557,0.304915
2.071183,2.655884,0.389790,0.363534
1.373474,1.232128,0.188530,0.520334
2.166281,1.531629,0.395800,0.598872
1.233949,2.948848,0.438002,0.297118
1.166831,2.875414,0.423659,0.291860
2.272177,2.243507,0.380317,0.458271
0.875027,1.358538,0.144041,0.348969
1.902142,1.942049,0.308933,0.477935
1.242394,0.274918,0.239393,0.678306
1.586054,2.398622,0.326329,0.350255
1.995015,1.905041,0.326057,0.499893
1.097374,1.749076,0.204246,0.347080
1.894266,1.847179,0.305055,0.497266
1.815715,0.578251,0.430375,0.721421
1.613794,1.159776,0.254416,0.596120
1.088136,2.183657,0.283373,0.296997
1.169650,2.950810,0.439589,0.295352
2.413897,2.843595,0.429656,0.352200
2.230758,2.924791,0.433546,0.333184
1.375005,0.777360,0.213342,0.620401
1.015566,1.613529,0.182240,0.346473
1.304996,1.077367,0.174680,0.535516
1.094351,1.316363,0.149906,0.421617
1.460839,0.848788,0.234502,0.627459
2.529224,1.961065,0.448744,0.532667
1.403648,1.048919,0.199945,0.569473
1.071393,0.716195,0.132306,0.542904
1.222983,0.742344,0.169721,0.585189
1.446279,1.901353,0.243658,0.401047
0.546069,0.353157,0.058610,0.429886
1.509367,0.926628,0.242472,0.622470
1.503518,2.208479,0.291257,0.363185
2.010795,2.721020,0.396547,0.350043
2.232925,1.787980,0.388664,0.551914
0.372667,0.375591,0.053624,0.359391
1.065677,1.266066,0.143351,0.423063
2.430906,2.961692,0.443139,0.333386
2.007109,1.153462,0.395344,0.656027
1.835373,0.658677,0.420933,0.714218
1.570195,0.965499,0.259071,0.628088
1.738064,1.838013,0.275351,0.471968
1.684398,0.918387,0.306746,0.658929
1.350836,1.538385,0.196467,0.448215
2.462037,2.106907,0.419735,0.500506
1.686843,2.578276,0.360998,0.340594
2.513079,1.966035,0.444384,0.531109
0.674715,0.228886,0.078506,0.504660
0.674004,0.624324,0.073321,0.421907
0.783143,0.610219,0.083543,0.464907
1.930550,1.534275,0.322548,0.571834
1.451277,1.000451,0.217356,0.592750
0.506103,0.305515,0.056237,0.424390
1.914889,2.104532,0.318398,0.445891
1.626971,1.993457,0.272066,0.420201
1.756761,1.535212,0.275406,0.541895
2.074667,1.872092,0.344063,0.517288
0.471341,0.895523,0.095529,0.299219
1.853804,1.298058,0.319824,0.610902
1.341041,0.768097,0.203040,0.613638
2.031505,1.332614,0.376671,0.625792
2.195127,2.581702,0.389722,0.385458
1.200042,2.687233,0.383557,0.290916
1.249170,1.280208,0.166763,0.474883
2.061398,1.390623,0.379171,0.617693
1.496592,1.875938,0.245448,0.416276
1.454957,1.817858,0.234992,0.418094
0.637845,0.421933,0.066774,0.450371
1.701797,0.603425,0.372733,0.710561
2.176418,1.228106,0.447852,0.652516
1.210167,2.901058,0.428081,0.294725
1.776378,2.236217,0.314516,0.400792
0.942435,1.772925,0.209451,0.307660
1.976219,2.316887,0.343766,0.412537
1.312857,2.355523,0.313824,0.317641
1.408011,2.871777,0.418399,0.302368
1.355064,0.277636,0.286149,0.701828
2.178699,2.170102,0.363496,0.465020
1.815382,0.971640,0.350622,0.668277
2.287089,1.765692,0.405388,0.560827
1.389763,2.838198,0.411295,0.301699
1.923171,1.818365,0.310988,0.508314
1.209571,0.692079,0.169861,0.591759
0.430874,0.643502,0.070116,0.329660
1.496503,0.856436,0.245938,0.633855
0.881029,1.071339,0.113115,0.403261
1.330385,0.313795,0.268111,0.692141
1.190272,1.009902,0.150610,0.516291
2.407198,2.855487,0.430519,0.349955
0.446632,0.757951,0.081281,0.314397
1.787937,1.274840,0.300366,0.605000
2.537913,2.563862,0.421797,0.410451
2.031250,1.280088,0.384258,0.635539
0.287427,0.481729,0.063911,0.308099
1.180734,2.858258,0.419760,0.291815
1.442994,0.468447,0.285845,0.691814
1.047511,1.396490,0.154422,0.392531
0.973669,1.918392,0.235368,0.298636
2.353773,2.482229,0.397779,0.416125
1.437275,2.576850,0.357591,0.315635
1.834439,0.963936,0.359311,0.671547
1.443966,2.367912,0.317166,0.334535
1.353442,1.339642,0.186547,0.491118
